Div,HomeTeam,AwayTeam,FTHG,FTAG,HS,AS,HST,AST,B365H,B365D,B365A
E0,Arsenal,Everton,2,1,11,13,5,7,1.4,3.8,8
E0,Birmingham,Tottenham,1,0,10,15,5,7,2.375,3.25,2.75
E0,Blackburn,Wolves,5,1,25,8,13,5,1.615,3.4,5.5
E0,Fulham,Middlesbrough,3,2,17,8,9,5,2.3,3.25,2.8
E0,Leicester,Southampton,2,2,12,13,7,10,2.5,3.2,2.6
E0,Man United,Bolton,4,0,13,15,6,5,1.286,4.5,10
E0,Portsmouth,Aston Villa,2,1,4,9,3,5,2.375,3.25,2.75
E0,Charlton,Man City,0,3,10,14,5,8,2.25,3.4,2.75
E0,Leeds,Newcastle,2,2,8,19,3,10,2.75,3.25,2.375
E0,Liverpool,Chelsea,1,2,12,10,7,6,2.25,3.25,2.875
E0,Bolton,Blackburn,2,2,16,10,10,5,2.5,3.3,2.5
E0,Chelsea,Leicester,2,1,17,5,7,1,1.25,5,10
E0,Everton,Fulham,3,1,10,23,8,15,1.8,3.4,4
E0,Man City,Portsmouth,1,1,21,4,11,2,1.667,3.6,4.5
E0,Newcastle,Man United,1,2,7,11,5,8,3,3.2,2.2
E0,Southampton,Birmingham,0,0,14,12,7,5,1.909,3.25,3.75
E0,Tottenham,Leeds,2,1,20,5,4,2,2,3.25,3.4
E0,Wolves,Charlton,0,4,10,8,4,6,2.375,3.25,2.7
E0,Aston Villa,Liverpool,0,0,14,15,9,9,3,3.2,2.2
E0,Middlesbrough,Arsenal,0,4,10,14,4,10,4,3.4,1.8
E0,Blackburn,Man City,2,3,14,13,10,5,2,3.25,3.4
E0,Charlton,Everton,2,2,10,13,4,4,2.375,3.2,2.75
E0,Leeds,Southampton,0,0,15,14,6,8,2,3.25,3.4
E0,Leicester,Middlesbrough,0,0,12,13,4,3,2.5,3.2,2.6
E0,Portsmouth,Bolton,4,0,13,13,8,4,2.1,3.25,3.2
E0,Arsenal,Aston Villa,2,0,14,6,6,3,1.286,5,8.5
E0,Liverpool,Tottenham,0,0,22,9,10,4,1.5,3.5,7
E0,Man United,Wolves,1,0,14,12,5,2,1.143,6.5,15
E0,Aston Villa,Leicester,3,1,10,5,8,4,1.667,3.4,5
E0,Bolton,Charlton,0,0,13,7,9,1,2.3,3.25,2.8
E0,Chelsea,Blackburn,2,2,12,7,5,4,1.5,3.6,6.5
E0,Everton,Liverpool,0,3,11,18,5,11,2.6,3.2,2.5
E0,Middlesbrough,Leeds,2,3,27,8,16,4,2,3.25,3.4
E0,Newcastle,Birmingham,0,1,19,7,10,3,1.533,3.4,6.5
E0,Tottenham,Fulham,0,3,18,9,6,5,1.667,3.4,5
E0,Wolves,Portsmouth,0,0,11,9,2,2,2.75,3.2,2.375
E0,Man City,Arsenal,1,2,11,10,7,5,4,3.4,1.8
E0,Southampton,Man United,1,0,12,10,5,9,5,3.4,1.667
E0,Arsenal,Portsmouth,1,1,12,8,7,2,1.28,4.5,10
E0,Blackburn,Liverpool,1,3,8,21,5,14,2.8,3.25,2.3
E0,Bolton,Middlesbrough,2,0,13,7,8,6,2.3,3.2,2.87
E0,Charlton,Man United,0,2,8,14,3,9,5,3.6,1.61
E0,Chelsea,Tottenham,4,2,12,9,6,3,1.53,3.6,6
E0,Everton,Newcastle,2,2,9,4,7,2,2.37,3.2,2.75
E0,Southampton,Wolves,2,0,15,10,10,3,1.61,3.4,5.5
E0,Birmingham,Fulham,2,2,15,8,9,6,1.83,3.25,4
E0,Man City,Aston Villa,4,1,17,8,9,4,1.83,3.25,4
E0,Leicester,Leeds,4,0,19,14,11,2,2.6,3.2,2.5
E0,Aston Villa,Charlton,2,1,15,8,6,3,1.9,3.25,3.75
E0,Fulham,Man City,2,2,13,7,9,6,2.3,3.25,2.8
E0,Leeds,Birmingham,0,2,12,7,6,3,2.1,3.25,3.2
E0,Liverpool,Leicester,2,1,19,9,8,3,1.3,4.5,9.5
E0,Newcastle,Bolton,0,0,14,8,7,6,1.5,3.6,6.5
E0,Portsmouth,Blackburn,1,2,9,12,6,10,2.25,3.25,2.87
E0,Tottenham,Southampton,1,3,13,12,6,10,2,3.25,3.4
E0,Wolves,Chelsea,0,5,8,14,4,8,6.5,3.6,1.5
E0,Man United,Arsenal,0,0,9,6,7,1,2,3.25,3.4
E0,Middlesbrough,Everton,1,0,9,9,4,5,2.3,3.25,2.8
E0,Arsenal,Newcastle,3,2,11,5,7,4,1.53,3.5,5.5
E0,Birmingham,Portsmouth,2,0,7,10,5,5,1.9,3.25,3.75
E0,Bolton,Wolves,1,1,22,8,14,4,1.61,3.6,5
E0,Chelsea,Aston Villa,1,0,10,7,5,1,1.33,4.33,8.5
E0,Leicester,Man United,1,4,10,11,4,9,6.5,3.6,1.5
E0,Southampton,Middlesbrough,0,1,10,12,6,9,1.8,3.2,4.33
E0,Blackburn,Fulham,0,2,6,7,0,2,1.8,3.4,4
E0,Charlton,Liverpool,3,2,14,17,5,9,4.33,3.2,1.8
E0,Everton,Leeds,4,0,20,6,9,2,1.83,3.25,4
E0,Man City,Tottenham,0,0,21,4,10,2,1.72,3.4,4.5
E0,Fulham,Leicester,2,0,16,8,8,4,1.61,3.6,5
E0,Leeds,Blackburn,2,1,15,17,5,9,2.5,3.3,2.5
E0,Liverpool,Arsenal,1,2,13,12,7,8,2.5,3.3,2.5
E0,Man United,Birmingham,3,0,10,5,8,2,1.3,4.5,9.5
E0,Newcastle,Southampton,1,0,14,7,9,4,1.72,3.5,4.33
E0,Portsmouth,Charlton,1,2,16,11,8,6,2.1,3.25,3.2
E0,Tottenham,Everton,3,0,13,12,7,4,2.25,3.25,2.87
E0,Wolves,Man City,1,0,8,9,4,5,3.25,3.5,2
E0,Aston Villa,Bolton,1,1,14,15,8,5,1.8,3.4,4
E0,Middlesbrough,Chelsea,1,2,15,10,6,6,4.33,3.5,1.72
E0,Birmingham,Chelsea,0,0,6,13,2,8,4.33,3.5,1.72
E0,Arsenal,Chelsea,2,1,13,7,9,3,2.2,3.2,3
E0,Fulham,Wolves,0,0,9,14,4,6,1.57,3.6,5.5
E0,Leeds,Man United,0,1,3,18,2,10,5,3.6,1.61
E0,Man City,Bolton,6,2,16,12,13,8,1.66,3.4,5
E0,Middlesbrough,Newcastle,0,1,11,4,7,3,2.5,3.3,2.5
E0,Portsmouth,Liverpool,1,0,10,13,6,7,4,3.25,1.83
E0,Birmingham,Aston Villa,0,0,4,2,3,1,2.25,3,3.1
E0,Everton,Southampton,0,0,13,19,6,7,2,3.25,3.4
E0,Leicester,Tottenham,1,2,22,7,15,4,2.6,3.2,2.5
E0,Blackburn,Charlton,0,1,15,10,6,5,1.9,3.25,3.75
E0,Fulham,Newcastle,2,3,4,11,4,7,2.5,3.2,2.6
E0,Aston Villa,Everton,0,0,16,8,6,2,2,3.25,3.4
E0,Bolton,Birmingham,0,1,16,7,7,3,2.4,3.2,2.7
E0,Chelsea,Man City,1,0,7,9,4,6,1.5,3.5,7
E0,Liverpool,Leeds,3,1,20,7,9,5,1.5,3.5,7
E0,Man United,Fulham,1,3,17,12,9,7,1.25,5,10
E0,Newcastle,Portsmouth,3,0,10,9,8,4,1.53,3.6,6
